district,address,title,house_type,area,price,floor,build_time,district_id,update_time,view_num,extra_info,link
东城区,东城区12号院13号楼7单元61室,一室一厅 东城区优质房源,两室一厅,82.5,835.52,21层/共19层,2017年,1005,2025-05-31 21:48:37,2407,南北通透,https://example.com/house/10039
丰台区,丰台区49号院7号楼1单元20室,两室一厅 丰台区优质房源,两室一厅,159.5,1148.53,23层/共26层,2013年,1003,2025-09-09 21:48:37,3574,南北通透,https://example.com/house/10040
西城区,西城区61号院18号楼4单元90室,四室两厅 西城区优质房源,三室一厅,100.5,1239.46,18层/共11层,2005年,1004,2025-06-16 21:48:37,1999,电梯房,https://example.com/house/10041
顺义区,顺义区62号院21号楼20单元31室,四室两厅 顺义区优质房源,两室两厅,99.7,1436.63,7层/共17层,2007年,1007,2025-06-25 21:48:37,2850,近地铁,https://example.com/house/10042
丰台区,丰台区39号院11号楼4单元74室,三室两厅 丰台区优质房源,四室两厅,88.9,637.96,13层/共32层,2013年,1003,2025-08-16 21:48:37,4805,电梯房,https://example.com/house/10043
顺义区,顺义区8号院23号楼12单元54室,四室两厅 顺义区优质房源,三室两厅,85.0,813.01,17层/共29层,2005年,1007,2025-04-08 21:48:37,3973,带车位,https://example.com/house/10044
海淀区,海淀区82号院29号楼10单元16室,两室一厅 海淀区优质房源,两室两厅,183.5,1079.65,14层/共33层,2001年,1002,2025-07-26 21:48:37,2880,电梯房,https://example.com/house/10045
顺义区,顺义区73号院7号楼3单元37室,三室两厅 顺义区优质房源,两室两厅,158.9,715.01,22层/共26层,2003年,1007,2025-09-15 21:48:37,3060,近地铁,https://example.com/house/10046
顺义区,顺义区15号院27号楼5单元48室,四室两厅 顺义区优质房源,两室一厅,138.8,1144.7,27层/共31层,2017年,1007,2025-12-16 21:48:37,2403,电梯房,https://example.com/house/10047
顺义区,顺义区38号院27号楼14单元88室,三室一厅 顺义区优质房源,一室一厅,126.2,636.64,30层/共20层,2013年,1007,2025-08-02 21:48:37,3561,带车位,https://example.com/house/10048
东城区,东城区36号院19号楼14单元12室,三室两厅 东城区优质房源,三室两厅,122.3,311.84,32层/共17层,1999年,1005,2025-06-02 21:48:37,3489,近地铁,https://example.com/house/10049
东城区,东城区94号院22号楼18单元93室,四室两厅 东城区优质房源,两室两厅,131.4,325.11,9层/共24层,2000年,1005,2025-10-10 21:48:37,3202,精装修,https://example.com/house/10050
西城区,西城区16号院2号楼1单元62室,两室两厅 西城区优质房源,四室两厅,199.0,314.88,32层/共16层,2002年,1004,2026-01-12 21:48:37,1146,南北通透,https://example.com/house/10051
海淀区,海淀区43号院13号楼2单元89室,一室一厅 海淀区优质房源,两室两厅,56.6,247.35,16层/共17层,2015年,1002,2025-04-15 21:48:37,601,学区房,https://example.com/house/10052
海淀区,海淀区8号院12号楼7单元92室,两室两厅 海淀区优质房源,一室一厅,96.3,610.24,8层/共28层,1998年,1002,2025-11-18 21:48:37,1078,学区房,https://example.com/house/10053
西城区,西城区71号院6号楼13单元17室,三室两厅 西城区优质房源,两室两厅,55.3,501.25,30层/共23层,2012年,1004,2025-10-08 21:48:37,1628,近地铁,https://example.com/house/10054
丰台区,丰台区92号院10号楼14单元10室,两室一厅 丰台区优质房源,两室两厅,92.2,1421.36,6层/共15层,2011年,1003,2025-06-20 21:48:37,586,带车位,https://example.com/house/10055
顺义区,顺义区49号院14号楼11单元78室,一室一厅 顺义区优质房源,三室一厅,139.9,698.79,24层/共12层,1991年,1007,2025-10-28 21:48:37,578,南北通透,https://example.com/house/10056
朝阳区,朝阳区96号院9号楼10单元91室,四室两厅 朝阳区优质房源,两室两厅,119.6,1064.43,27层/共31层,2000年,1001,2025-08-13 21:48:37,2804,电梯房,https://example.com/house/10057
朝阳区,朝阳区72号院7号楼6单元90室,一室一厅 朝阳区优质房源,两室两厅,77.2,729.34,13层/共21层,2016年,1001,2026-02-25 21:48:37,1916,南北通透,https://example.com/house/10058
东城区,东城区59号院14号楼11单元45室,三室两厅 东城区优质房源,三室两厅,140.9,305.67,6层/共30层,1995年,1005,2025-05-15 21:48:37,1552,精装修,https://example.com/house/10059
西城区,西城区2号院11号楼14单元31室,三室两厅 西城区优质房源,两室两厅,192.7,1185.26,3层/共32层,2010年,1004,2025-06-29 21:48:37,1260,精装修,https://example.com/house/10060
海淀区,海淀区58号院7号楼17单元13室,两室一厅 海淀区优质房源,两室一厅,150.3,261.13,20层/共25层,2016年,1002,2025-12-03 21:48:37,1941,电梯房,https://example.com/house/10061
顺义区,顺义区34号院6号楼20单元18室,一室一厅 顺义区优质房源,三室两厅,125.4,992.36,3层/共33层,2015年,1007,2025-08-22 21:48:37,2485,精装修,https://example.com/house/10062
昌平区,昌平区84号院1号楼11单元1室,两室两厅 昌平区优质房源,两室一厅,77.1,1399.57,14层/共32层,2012年,1006,2026-02-21 21:48:37,2220,学区房,https://example.com/house/10063
朝阳区,朝阳区88号院7号楼16单元30室,三室一厅 朝阳区优质房源,两室两厅,193.8,255.38,16层/共28层,2016年,1001,2025-12-02 21:48:37,1633,电梯房,https://example.com/house/10064
顺义区,顺义区16号院26号楼1单元85室,三室两厅 顺义区优质房源,三室一厅,163.4,629.17,16层/共20层,2006年,1007,2025-08-13 21:48:37,2802,近地铁,https://example.com/house/10065
海淀区,海淀区5号院4号楼15单元28室,一室一厅 海淀区优质房源,一室一厅,132.3,364.02,3层/共25层,2011年,1002,2025-10-10 21:48:37,3497,精装修,https://example.com/house/10066
丰台区,丰台区24号院13号楼3单元41室,一室一厅 丰台区优质房源,两室两厅,188.0,947.8,30层/共21层,2002年,1003,2026-03-01 21:48:37,3569,近地铁,https://example.com/house/10067
东城区,东城区36号院7号楼13单元61室,三室两厅 东城区优质房源,两室一厅,57.0,478.99,25层/共18层,2008年,1005,2026-03-04 21:48:37,4393,南北通透,https://example.com/house/10068
丰台区,丰台区88号院4号楼1单元91室,四室两厅 丰台区优质房源,一室一厅,109.9,1114.82,14层/共31层,2006年,1003,2025-08-22 21:48:37,3199,近地铁,https://example.com/house/10069
东城区,东城区9号院12号楼12单元69室,两室两厅 东城区优质房源,三室一厅,164.3,1361.67,12层/共18层,2016年,1005,2025-06-07 21:48:37,3782,南北通透,https://example.com/house/10070
朝阳区,朝阳区72号院4号楼11单元89室,三室两厅 朝阳区优质房源,三室一厅,192.4,856.3,33层/共16层,1995年,1001,2026-02-08 21:48:37,1509,近地铁,https://example.com/house/10071
西城区,西城区37号院28号楼17单元95室,两室两厅 西城区优质房源,一室一厅,65.7,1259.57,32层/共25层,2013年,1004,2025-10-11 21:48:37,1689,学区房,https://example.com/house/10072
丰台区,丰台区75号院14号楼2单元84室,四室两厅 丰台区优质房源,三室两厅,84.9,813.47,19层/共16层,1995年,1003,2025-09-08 21:48:37,1738,精装修,https://example.com/house/10073
海淀区,海淀区70号院1号楼19单元44室,三室两厅 海淀区优质房源,四室两厅,125.2,249.59,32层/共29层,1990年,1002,2026-01-13 21:48:37,3840,电梯房,https://example.com/house/10074
西城区,西城区63号院2号楼16单元57室,两室一厅 西城区优质房源,一室一厅,156.5,751.03,6层/共17层,2002年,1004,2025-03-12 21:48:37,4796,精装修,https://example.com/house/10075
海淀区,海淀区59号院8号楼17单元75室,三室一厅 海淀区优质房源,两室两厅,185.7,579.14,24层/共28层,2018年,1002,2026-02-03 21:48:37,4994,电梯房,https://example.com/house/10076
昌平区,昌平区79号院28号楼11单元16室,三室一厅 昌平区优质房源,一室一厅,60.7,1369.62,21层/共13层,2017年,1006,2025-09-08 21:48:37,1824,精装修,https://example.com/house/10077
丰台区,丰台区66号院28号楼13单元41室,两室两厅 丰台区优质房源,三室一厅,95.8,1296.96,28层/共30层,2011年,1003,2025-10-28 21:48:37,1998,南北通透,https://example.com/house/10078
海淀区,海淀区73号院7号楼5单元95室,三室一厅 海淀区优质房源,一室一厅,132.9,285.28,30层/共29层,2008年,1002,2025-07-31 21:48:37,3418,精装修,https://example.com/house/10079
丰台区,丰台区17号院16号楼13单元18室,一室一厅 丰台区优质房源,两室两厅,100.9,428.58,31层/共26层,2003年,1003,2026-01-02 21:48:37,3451,近地铁,https://example.com/house/10080
丰台区,丰台区88号院25号楼16单元5室,三室一厅 丰台区优质房源,一室一厅,78.3,1365.14,25层/共30层,2005年,1003,2025-09-27 21:48:37,1872,带车位,https://example.com/house/10081
顺义区,顺义区18号院24号楼16单元70室,两室两厅 顺义区优质房源,两室一厅,125.5,252.03,24层/共14层,2000年,1007,2025-06-29 21:48:37,4108,南北通透,https://example.com/house/10082
海淀区,海淀区20号院3号楼3单元35室,两室两厅 海淀区优质房源,四室两厅,94.3,1072.86,24层/共33层,2016年,1002,2025-06-17 21:48:37,3193,学区房,https://example.com/house/10083
昌平区,昌平区34号院26号楼3单元46室,一室一厅 昌平区优质房源,三室两厅,173.6,1020.02,14层/共30层,2007年,1006,2026-03-07 21:48:37,3573,学区房,https://example.com/house/10084
顺义区,顺义区57号院5号楼13单元40室,三室两厅 顺义区优质房源,三室一厅,174.3,455.81,21层/共21层,1999年,1007,2025-03-26 21:48:37,4096,学区房,https://example.com/house/10085
东城区,东城区10号院21号楼1单元37室,四室两厅 东城区优质房源,一室一厅,191.3,826.44,28层/共33层,2013年,1005,2025-11-01 21:48:37,3263,学区房,https://example.com/house/10086
西城区,西城区96号院12号楼19单元81室,四室两厅 西城区优质房源,一室一厅,187.0,697.56,7层/共21层,2015年,1004,2025-03-27 21:48:37,1037,带车位,https://example.com/house/10087
顺义区,顺义区90号院15号楼5单元22室,四室两厅 顺义区优质房源,两室两厅,177.2,1306.96,14层/共33层,1995年,1007,2025-10-05 21:48:37,150,南北通透,https://example.com/house/10088
东城区,东城区50号院24号楼15单元92室,三室一厅 东城区优质房源,两室一厅,171.6,329.03,3层/共24层,2000年,1005,2026-02-09 21:48:37,45,近地铁,https://example.com/house/10089
西城区,西城区35号院3号楼11单元17室,两室一厅 西城区优质房源,两室两厅,62.6,1410.12,8层/共26层,2001年,1004,2025-08-03 21:48:37,4919,电梯房,https://example.com/house/10090
东城区,东城区11号院6号楼20单元82室,三室两厅 东城区优质房源,四室两厅,78.4,270.72,10层/共11层,2004年,1005,2025-08-19 21:48:37,2043,南北通透,https://example.com/house/10091
顺义区,顺义区78号院21号楼5单元41室,三室两厅 顺义区优质房源,两室一厅,100.6,1270.29,17层/共17层,2014年,1007,2025-10-14 21:48:37,2991,近地铁,https://example.com/house/10092
东城区,东城区68号院20号楼17单元66室,两室两厅 东城区优质房源,四室两厅,181.1,631.96,23层/共15层,1996年,1005,2025-05-11 21:48:37,2607,南北通透,https://example.com/house/10093
海淀区,海淀区77号院25号楼16单元73室,两室一厅 海淀区优质房源,四室两厅,155.8,850.63,16层/共14层,1990年,1002,2025-04-20 21:48:37,1885,电梯房,https://example.com/house/10094
海淀区,海淀区45号院21号楼14单元99室,一室一厅 海淀区优质房源,四室两厅,138.1,617.81,1层/共14层,2002年,1002,2025-07-22 21:48:37,2863,带车位,https://example.com/house/10095
朝阳区,朝阳区9号院30号楼20单元62室,四室两厅 朝阳区优质房源,一室一厅,135.5,1186.84,18层/共19层,2018年,1001,2026-01-07 21:48:37,1377,近地铁,https://example.com/house/10096
朝阳区,朝阳区27号院25号楼1单元87室,三室一厅 朝阳区优质房源,三室一厅,111.5,950.62,23层/共22层,2000年,1001,2025-10-10 21:48:37,4249,带车位,https://example.com/house/10097
海淀区,海淀区37号院6号楼16单元61室,两室一厅 海淀区优质房源,两室一厅,154.6,382.93,10层/共14层,1992年,1002,2025-04-03 21:48:37,4621,精装修,https://example.com/house/10098
昌平区,昌平区73号院20号楼15单元99室,一室一厅 昌平区优质房源,三室两厅,189.8,1405.51,30层/共23层,2006年,1006,2025-08-02 21:48:37,3328,电梯房,https://example.com/house/10099
东城区,东城区51号院22号楼17单元17室,三室一厅 东城区优质房源,三室两厅,75.4,1361.08,7层/共31层,2011年,1005,2025-04-24 21:48:37,3951,精装修,https://example.com/house/10100
海淀区,海淀区6号院22号楼20单元7室,两室两厅 海淀区优质房源,三室一厅,149.0,433.09,24层/共24层,2010年,1002,2025-11-12 21:48:37,748,带车位,https://example.com/house/10101
朝阳区,朝阳区98号院27号楼10单元88室,一室一厅 朝阳区优质房源,三室两厅,64.7,1250.45,26层/共15层,1991年,1001,2025-12-17 21:48:37,2668,带车位,https://example.com/house/10102
丰台区,丰台区63号院12号楼9单元70室,两室两厅 丰台区优质房源,四室两厅,61.3,629.24,33层/共19层,1991年,1003,2025-09-07 21:48:37,1627,近地铁,https://example.com/house/10103
丰台区,丰台区6号院26号楼7单元28室,三室两厅 丰台区优质房源,三室两厅,187.3,574.39,15层/共17层,2012年,1003,2026-01-28 21:48:37,20,南北通透,https://example.com/house/10104
顺义区,顺义区1号院30号楼3单元29室,两室两厅 顺义区优质房源,一室一厅,163.7,257.99,29层/共26层,2000年,1007,2025-08-20 21:48:37,4251,电梯房,https://example.com/house/10105
西城区,西城区99号院16号楼15单元49室,一室一厅 西城区优质房源,一室一厅,114.3,1048.7,7层/共17层,2005年,1004,2026-03-09 21:48:37,288,带车位,https://example.com/house/10106
顺义区,顺义区96号院5号楼3单元77室,四室两厅 顺义区优质房源,三室一厅,173.2,320.72,5层/共18层,2016年,1007,2025-03-24 21:48:37,3669,近地铁,https://example.com/house/10107
丰台区,丰台区33号院9号楼19单元98室,一室一厅 丰台区优质房源,两室两厅,188.3,725.67,21层/共18层,2017年,1003,2026-01-22 21:48:37,1410,带车位,https://example.com/house/10108
丰台区,丰台区60号院11号楼6单元94室,三室两厅 丰台区优质房源,三室一厅,116.7,796.92,30层/共18层,2019年,1003,2026-01-05 21:48:37,3986,电梯房,https://example.com/house/10109
顺义区,顺义区65号院7号楼13单元83室,两室两厅 顺义区优质房源,两室一厅,165.5,1045.1,25层/共25层,1999年,1007,2025-10-24 21:48:37,2987,精装修,https://example.com/house/10110
昌平区,昌平区19号院15号楼20单元63室,三室两厅 昌平区优质房源,三室两厅,142.9,955.92,21层/共32层,2003年,1006,2025-09-09 21:48:37,3627,学区房,https://example.com/house/10111
丰台区,丰台区45号院9号楼8单元65室,三室两厅 丰台区优质房源,两室一厅,94.3,636.82,13层/共33层,2011年,1003,2025-12-16 21:48:37,4833,电梯房,https://example.com/house/10112
海淀区,海淀区96号院10号楼16单元73室,两室两厅 海淀区优质房源,三室一厅,62.2,340.26,3层/共20层,2012年,1002,2025-09-11 21:48:37,206,南北通透,https://example.com/house/10113
朝阳区,朝阳区58号院13号楼11单元21室,四室两厅 朝阳区优质房源,三室两厅,70.5,577.47,11层/共10层,1991年,1001,2025-08-25 21:48:37,446,学区房,https://example.com/house/10114
西城区,西城区96号院8号楼19单元95室,一室一厅 西城区优质房源,三室两厅,150.4,268.97,11层/共31层,2017年,1004,2025-11-11 21:48:37,2709,带车位,https://example.com/house/10115
朝阳区,朝阳区93号院13号楼12单元38室,三室两厅 朝阳区优质房源,一室一厅,159.1,434.07,8层/共19层,2008年,1001,2025-04-01 21:48:37,141,南北通透,https://example.com/house/10116
西城区,西城区28号院16号楼10单元53室,四室两厅 西城区优质房源,四室两厅,148.0,1222.65,25层/共10层,2012年,1004,2025-11-19 21:48:37,4392,南北通透,https://example.com/house/10117
西城区,西城区77号院26号楼19单元98室,一室一厅 西城区优质房源,一室一厅,129.3,1088.51,23层/共25层,1991年,1004,2025-06-02 21:48:37,132,近地铁,https://example.com/house/10118
朝阳区,朝阳区41号院12号楼2单元68室,一室一厅 朝阳区优质房源,三室两厅,85.4,523.43,33层/共33层,2012年,1001,2025-12-26 21:48:37,4756,学区房,https://example.com/house/10119
昌平区,昌平区42号院20号楼20单元44室,两室一厅 昌平区优质房源,两室一厅,52.7,930.56,32层/共11层,2014年,1006,2025-10-21 21:48:37,1275,电梯房,https://example.com/house/10120
西城区,西城区2号院22号楼13单元62室,三室两厅 西城区优质房源,四室两厅,75.3,1378.15,10层/共29层,2016年,1004,2025-08-16 21:48:37,3022,南北通透,https://example.com/house/10121
昌平区,昌平区34号院8号楼18单元18室,两室两厅 昌平区优质房源,三室一厅,159.7,1403.88,25层/共20层,2004年,1006,2026-02-25 21:48:37,3425,学区房,https://example.com/house/10122
丰台区,丰台区4号院1号楼13单元20室,三室两厅 丰台区优质房源,三室两厅,118.3,965.21,6层/共13层,1992年,1003,2025-12-31 21:48:37,306,带车位,https://example.com/house/10123
顺义区,顺义区80号院9号楼10单元66室,一室一厅 顺义区优质房源,三室两厅,71.3,1357.37,27层/共22层,1999年,1007,2026-01-29 21:48:37,3018,精装修,https://example.com/house/10124
东城区,东城区59号院8号楼13单元68室,三室两厅 东城区优质房源,一室一厅,85.4,529.71,6层/共28层,2000年,1005,2025-07-01 21:48:37,2847,精装修,https://example.com/house/10125
东城区,东城区2号院18号楼12单元54室,四室两厅 东城区优质房源,三室两厅,82.8,358.69,1层/共26层,2000年,1005,2026-02-07 21:48:37,3169,南北通透,https://example.com/house/10126
顺义区,顺义区63号院26号楼10单元45室,两室两厅 顺义区优质房源,四室两厅,74.4,1301.28,2层/共33层,1991年,1007,2025-11-13 21:48:37,2674,近地铁,https://example.com/house/10127
顺义区,顺义区95号院6号楼11单元39室,四室两厅 顺义区优质房源,四室两厅,96.2,770.84,4层/共21层,1999年,1007,2025-07-15 21:48:37,4651,南北通透,https://example.com/house/10128
朝阳区,朝阳区6号院18号楼6单元27室,两室两厅 朝阳区优质房源,两室两厅,73.2,488.45,11层/共27层,1991年,1001,2025-11-08 21:48:37,514,电梯房,https://example.com/house/10129
东城区,东城区94号院26号楼7单元76室,两室两厅 东城区优质房源,两室一厅,118.9,665.05,24层/共26层,1995年,1005,2025-06-12 21:48:37,1988,带车位,https://example.com/house/10130
海淀区,海淀区12号院20号楼8单元7室,两室两厅 海淀区优质房源,三室两厅,109.7,369.21,5层/共19层,2006年,1002,2025-11-18 21:48:37,3906,精装修,https://example.com/house/10131
顺义区,顺义区79号院23号楼15单元67室,一室一厅 顺义区优质房源,三室一厅,123.4,1109.69,21层/共24层,1994年,1007,2025-04-22 21:48:37,3279,学区房,https://example.com/house/10132
昌平区,昌平区15号院16号楼19单元59室,四室两厅 昌平区优质房源,一室一厅,160.5,446.97,31层/共20层,2017年,1006,2025-07-18 21:48:37,775,带车位,https://example.com/house/10133
海淀区,海淀区35号院19号楼20单元22室,两室两厅 海淀区优质房源,两室一厅,124.2,973.12,11层/共23层,1990年,1002,2025-11-26 21:48:37,373,电梯房,https://example.com/house/10134
昌平区,昌平区3号院6号楼13单元90室,两室一厅 昌平区优质房源,三室两厅,139.1,1083.91,32层/共11层,2000年,1006,2025-06-22 21:48:37,4011,近地铁,https://example.com/house/10135
丰台区,丰台区6号院26号楼10单元67室,一室一厅 丰台区优质房源,三室两厅,157.7,1003.22,12层/共27层,1999年,1003,2025-03-17 21:48:37,855,南北通透,https://example.com/house/10136
海淀区,海淀区61号院11号楼18单元71室,两室一厅 海淀区优质房源,两室两厅,88.3,1040.49,12层/共26层,2011年,1002,2025-05-07 21:48:37,945,南北通透,https://example.com/house/10137
丰台区,丰台区15号院9号楼15单元21室,四室两厅 丰台区优质房源,一室一厅,109.8,653.12,20层/共10层,2018年,1003,2025-03-31 21:48:37,1216,精装修,https://example.com/house/10138
昌平区,昌平区95号院12号楼14单元15室,两室两厅 昌平区优质房源,两室一厅,104.2,258.47,6层/共32层,2008年,1006,2026-01-27 21:48:37,3330,带车位,https://example.com/house/10139
东城区,东城区14号院19号楼3单元97室,四室两厅 东城区优质房源,两室一厅,154.4,412.24,30层/共25层,2005年,1005,2025-10-20 21:48:37,1358,南北通透,https://example.com/house/10140
昌平区,昌平区94号院11号楼14单元97室,四室两厅 昌平区优质房源,三室一厅,66.1,1338.01,11层/共24层,2017年,1006,2025-10-19 21:48:37,2705,电梯房,https://example.com/house/10141
东城区,东城区89号院10号楼10单元52室,一室一厅 东城区优质房源,三室两厅,148.3,1107.73,22层/共18层,2011年,1005,2025-04-02 21:48:37,967,近地铁,https://example.com/house/10142
海淀区,海淀区72号院14号楼9单元14室,两室两厅 海淀区优质房源,三室两厅,189.0,872.64,1层/共23层,2000年,1002,2025-05-04 21:48:37,1515,带车位,https://example.com/house/10143
