year,country,GDP
1987,中国,325716467625
1987,日本,2502307342950
1987,加拿大,236461721692
1987,意大利,256385288344
1988,美国,5253300000000
1988,英国,285233967692
1988,法国,304225478000
1988,中国,315716467625
1988,日本,3071307342950
1988,加拿大,245461721692
1988,意大利,265385288344
1989,美国,5653300000000
1989,英国,294233967692
1989,法国,313225478000
1989,中国,349716467625
1989,日本,3049307342950
1989,加拿大,254461721692
1989,意大利,274385288344
1990,美国,5973300000000
1990,英国,303233967692
1990,法国,322225478000
1990,中国,360716467625
1990,日本,3915307342950
1990,加拿大,263461721692
1990,意大利,283385288344
1991,美国,6173300000000
1991,英国,312233967692
1991,法国,331225478000
1991,中国,413716467625
1991,日本,3573307342950
1991,加拿大,272461721692
1991,意大利,292385288344
1992,美国,6533300000000
1992,英国,321233967692
1992,法国,340225478000
1992,中国,426716467625
1992,日本,3859307342950
1992,加拿大,281461721692
1992,意大利,301385288344
1993,美国,6873300000000
1993,英国,330233967692
1993,法国,349225478000
1993,中国,444716467625
1993,日本,4454307342950
1993,加拿大,290461721692
1993,意大利,310385288344
1994,美国,7303300000000
1994,英国,339233967692
1994,法国,358225478000
1994,中国,564716467625
1994,日本,4893307342950
1994,加拿大,299461721692
1994,意大利,319385288344
1995,美国,7663300000000
1995,英国,348233967692
1995,法国,367225478000
1995,中国,734716467625
1995,日本,5449307342950
1995,加拿大,308461721692
1995,意大利,328385288344
1996,美国,8103300000000
1996,英国,357233967692
1996,法国,376225478000
1996,中国,864716467625
1996,日本,4791307342950
1996,加拿大,317461721692
1996,意大利,337385288344
1997,美国,8603300000000
1997,英国,366233967692
1997,法国,385225478000
1997,中国,961716467625
1997,日本,4326307342950
1997,加拿大,326461721692
1997,意大利,346385288344
1998,美国,9083300000000
1998,英国,375233967692
1998,法国,394225478000
1998,中国,1029716467625
1998,日本,3857307342950
1998,加拿大,335461721692
1998,意大利,355385288344
1999,美国,9663300000000
1999,英国,384233967692
1999,法国,403225478000
1999,中国,1094716467625
1999,日本,4562307342950
1999,加拿大,344461721692
1999,意大利,364385288344
2000,美国,10283300000000
2000,英国,393233967692
2000,法国,412225478000
2000,中国,1211716467625
2000,日本,4887307342950
2000,加拿大,353461721692
2000,意大利,373385288344
2001,美国,10623300000000
2001,英国,402233967692
2001,法国,421225478000
2001,中国,1339716467625
2001,日本,4379307342950
2001,加拿大,362461721692
2001,意大利,382385288344
2002,美国,10983300000000
2002,英国,411233967692
2002,法国,430225478000
2002,中国,1470716467625
2002,日本,4180307342950
2002,加拿大,371461721692
2002,意大利,391385288344
2003,美国,11513300000000
2003,英国,420233967692
2003,法国,439225478000
2003,中国,1660716467625
2003,日本,4326307342950
2003,加拿大,380461721692
2003,意大利,400385288344
2004,美国,12273300000000
2004,英国,429233967692
2004,法国,448225478000
2004,中国,1941716467625
2004,日本,4655307342950
2004,加拿大,389461721692
2004,意大利,409385288344
2005,美国,13093300000000
2005,英国,438233967692
2005,法国,457225478000
2005,中国,2286716467625
2005,日本,4831307342950
2005,加拿大,398461721692
2005,意大利,418385288344
2006,美国,13853300000000
2006,英国,447233967692
2006,法国,466225478000
2006,中国,2752716467625
2006,日本,4955307342950
2006,加拿大,407461721692
2006,意大利,427385288344
2007,美国,14483300000000
2007,英国,456233967692
2007,法国,475225478000
2007,中国,3552716467625
2007,日本,5213307342950
2007,加拿大,416461721692
2007,意大利,436385288344
2008,美国,14723300000000
2008,英国,465233967692
2008,法国,484225478000
2008,中国,4598716467625
2008,日本,5037307342950
2008,加拿大,425461721692
2008,意大利,445385288344
2009,美国,14423300000000
2009,英国,474233967692
2009,法国,493225478000
2009,中国,5109716467625
2009,日本,5231307342950
2009,加拿大,434461721692
2009,意大利,454385288344
2010,美国,15093300000000
2010,英国,483233967692
2010,法国,502225478000
2010,中国,6087716467625
2010,日本,5700307342950
2010,加拿大,443461721692
2010,意大利,463385288344
2011,美国,15603300000000
2011,英国,492233967692
2011,法国,511225478000
2011,中国,7551716467625
2011,日本,6157307342950
2011,加拿大,452461721692
2011,意大利,472385288344
2012,美国,16253300000000
2012,英国,501233967692
2012,法国,520225478000
2012,中国,8532716467625
2012,日本,6203307342950
2012,加拿大,461461721692
2012,意大利,481385288344
2013,美国,16793300000000
2013,英国,510233967692
2013,法国,529225478000
2013,中国,9570716467625
2013,日本,5156307342950
2013,加拿大,470461721692
2013,意大利,490385288344
2014,美国,17533300000000
2014,英国,519233967692
2014,法国,538225478000
2014,中国,10475716467625
2014,日本,4850307342950
2014,加拿大,479461721692
2014,意大利,499385288344
2015,美国,18243300000000
2015,英国,528233967692
2015,法国,547225478000
2015,中国,11061716467625
2015,日本,4389307342950
2015,加拿大,488461721692
2015,意大利,508385288344
2016,美国,18753300000000
2016,英国,537233967692
2016,法国,556225478000
2016,中国,11191716467625
2016,日本,4926307342950
2016,加拿大,497461721692
2016,意大利,517385288344
2017,美国,19523300000000
2017,英国,546233967692
2017,法国,565225478000
2017,中国,12143716467625
2017,日本,4867307342950
2017,加拿大,506461721692
2017,意大利,526385288344
2018,美国,20583300000000
2018,英国,555233967692
2018,法国,574225478000
2018,中国,13608716467625
2018,日本,4954307342950
2018,加拿大,515461721692
2018,意大利,535385288344
2019,美国,21433300000000
2019,英国,564233967692
2019,法国,583225478000
2019,中国,14342716467625
2019,日本,5082307342950
2019,加拿大,524461721692
2019,意大利,544385288344
