date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2024-11-24,26.84,28.13,27.06,26.3,639649,-0.05,-1.28,21.19,21.81,21.18,405239.34,465020.8,545834.7,2.86
2024-11-23,24.4,24.75,20.81,23.65,508070,0.33,0.7,24.86,22.35,21.38,404838.35,537265.44,530458.33,1.81
2024-11-22,21.22,23.1,20.85,21.18,626161,0.87,2.89,20.9,20.67,22.36,566339.41,413928.23,569120.87,2.81
2024-11-21,24.95,26.86,29.87,24.31,508666,0.47,0.79,24.27,22.95,22.68,454614.16,434976.29,538498.57,1.64
2024-11-20,20.34,22.17,23.74,19.92,557761,-0.57,-1.44,22.46,23.45,22.87,503615.75,571147.45,485986.22,1.95
2024-11-19,29.09,29.83,23.71,28.44,536368,-0.94,0.8,21.24,20.87,22.36,459745.11,445435.91,534593.32,1.45
2024-11-18,22.59,22.62,28.13,22.35,637855,-0.48,0.24,24.35,20.38,20.95,588135.85,567408.23,455076.23,2.28
2024-11-17,26.63,28.49,29.47,24.85,541914,0.19,1.68,22.23,20.09,22.06,451859.35,455855.22,461262.7,2.96
2024-11-16,23.12,23.98,29.86,21.93,627738,-0.9,-2.36,22.57,22.57,21.31,485931.36,528576.38,557797.03,2.21
2024-11-15,25.2,27.13,27.53,23.84,567526,-0.01,1.57,21.8,22.43,20.76,574546.05,538830.11,489283.9,1.72
2024-11-14,25.47,27.4,23.76,23.89,676837,0.19,0.25,22.96,22.19,22.52,568386.71,502530.95,559676.07,2.3
2024-11-13,21.85,23.56,20.84,20.85,519956,-0.33,2.78,20.82,20.93,20.12,437220.28,461062.14,564484.47,1.25
2024-11-12,29.7,30.29,27.77,29.53,546240,0.54,-0.95,21.96,21.56,22.71,560528.66,442528.88,571512.47,2.78
2024-11-11,27.75,28.52,25.58,26.68,621008,-0.79,0.8,24.85,22.38,21.38,491637.38,406637.87,583327.05,2.01
2024-11-10,29.39,31.09,24.24,28.22,668220,-0.85,2.59,21.29,21.99,21.91,496593.77,460789.28,486197.04,1.9
2024-11-09,28.95,29.58,29.06,27.46,594270,0.46,-2.38,23.28,23.95,21.98,426695.99,530632.56,463773.36,2.17
2024-11-08,25.98,26.32,21.11,25.12,504757,-0.01,2.62,21.63,20.55,22.69,416120.3,587660.96,516439.75,2.25
2024-11-07,29.22,30.33,24.93,28.96,519097,0.38,1.13,23.87,22.78,21.91,545587.86,574240.9,474234.48,1.14
2024-11-06,20.88,22.75,20.11,20.31,641467,-0.13,-2.59,20.65,21.62,21.84,499292.23,553212.96,520214.83,2.37
2024-11-05,21.96,23.35,24.69,21.23,647313,-0.51,-1.19,24.85,21.71,20.2,487370.14,557689.47,541117.17,1.48
2024-11-04,20.45,21.59,20.56,19.16,603892,0.64,1.25,22.27,22.87,21.56,545901.65,532996.98,537681.0,2.43
2024-11-03,23.25,23.44,21.19,22.11,658768,0.6,-2.6,21.18,22.77,20.45,553102.58,452057.37,474910.58,2.65
2024-11-02,23.89,25.12,21.18,23.18,570480,0.39,0.49,20.37,23.97,22.21,431781.63,581439.01,433372.04,2.61
2024-11-01,22.71,24.69,26.49,20.74,546163,-0.46,-0.92,20.85,20.51,21.54,522045.03,534146.46,486105.87,2.11
2024-10-31,28.29,28.57,27.46,27.08,519816,0.18,0.73,22.6,20.42,22.04,427070.82,512088.13,428518.83,2.04
2024-10-30,23.57,24.61,25.83,23.1,680912,-0.28,-2.73,21.69,22.9,20.13,550275.02,422197.89,578019.41,1.29
2024-10-29,22.81,24.56,29.62,22.61,552853,-0.82,2.23,24.14,22.31,20.25,531391.03,489411.11,469175.49,2.55
2024-10-28,25.43,26.91,23.75,25.12,655989,0.83,2.84,22.15,21.1,22.15,591322.92,492071.65,430891.95,1.54
2024-10-27,21.41,22.8,22.86,20.92,596731,-0.73,2.81,21.24,20.32,20.22,413791.6,572912.72,405089.55,1.99
2024-10-26,28.02,29.42,28.69,27.7,652638,0.9,1.5,23.09,20.34,20.21,411410.94,509329.64,529164.48,1.57
2024-10-25,20.75,21.47,22.24,20.38,562823,-0.11,-2.22,23.53,23.58,20.04,456437.41,476080.11,527380.46,1.27
2024-10-24,29.87,30.46,29.63,29.3,651878,-0.63,1.55,20.84,20.77,22.87,452341.14,595360.07,468120.83,2.26
2024-10-23,27.72,29.34,20.12,27.37,501759,0.08,-2.85,20.84,21.29,22.21,449395.76,422144.12,414342.38,1.11
2024-10-22,21.99,23.61,29.7,20.2,673021,0.75,-2.87,20.18,20.91,21.06,581250.92,484509.69,481925.78,2.5
2024-10-21,20.06,21.79,20.43,19.9,592374,0.46,-1.06,23.68,21.42,20.89,449909.24,408404.94,462243.5,1.64
2024-10-20,28.15,29.98,28.91,27.1,633554,0.61,-0.07,23.32,20.28,21.05,454389.95,547980.82,535424.13,1.0
2024-10-19,27.07,28.09,25.28,26.25,524442,0.32,1.62,22.37,22.08,22.32,551879.65,583615.31,521155.85,2.02
2024-10-18,27.29,28.29,29.93,25.33,664791,0.38,1.1,24.22,20.27,21.98,489947.97,456007.47,472918.75,1.09
2024-10-17,27.71,29.31,20.74,27.49,689138,0.7,-0.32,24.03,23.2,20.56,555342.11,571668.34,443578.51,1.55
2024-10-16,20.74,22.04,25.54,19.94,593501,-0.5,-1.36,22.93,20.93,20.52,413073.23,458443.65,597607.19,2.41
2024-10-15,23.58,24.98,29.69,21.64,502079,-0.02,2.98,24.34,22.16,20.3,497514.24,582154.03,490800.32,1.13
2024-10-14,21.16,22.75,25.23,19.43,633789,-0.56,-0.44,21.03,23.52,21.98,406722.72,550792.38,537654.85,2.68
2024-10-13,28.63,30.41,26.29,27.0,559676,0.98,-0.29,20.56,22.6,22.29,412530.64,560981.36,428110.59,1.01
2024-10-12,26.23,26.91,26.96,25.71,659024,0.89,-2.02,21.35,22.13,20.8,581287.49,403601.31,497117.94,1.49
2024-10-11,23.31,24.06,24.55,22.97,673532,-0.92,1.77,20.29,21.3,20.06,427849.07,592562.07,405507.34,2.48
2024-10-10,20.64,20.83,26.28,19.3,590397,0.41,1.16,22.66,21.33,20.25,506484.14,545334.2,501091.02,1.63
2024-10-09,23.11,24.27,25.84,21.25,572847,0.85,-1.68,24.68,22.68,22.9,482219.12,460950.22,592803.48,1.2
2024-10-08,23.25,23.32,29.01,22.14,593607,-0.64,-2.51,20.2,23.98,20.89,469468.67,565878.93,476841.34,1.72
2024-10-07,27.3,28.23,20.45,26.16,649521,0.14,1.08,20.61,22.65,22.31,579966.67,456304.24,407799.2,1.54
2024-10-06,26.38,27.47,22.81,25.82,664608,0.83,0.93,22.26,22.23,21.87,404364.68,574550.77,406191.16,2.69
2024-10-05,28.87,29.44,29.5,27.33,564077,-0.93,-1.36,24.67,22.92,21.15,532757.94,422516.08,477597.35,1.63
2024-10-04,24.72,25.9,28.9,24.35,538258,0.39,2.71,21.58,21.86,20.62,592678.89,540737.2,432004.99,2.58
2024-10-03,21.2,21.26,24.56,20.55,679374,-0.41,-2.09,22.54,20.24,20.36,512033.64,508139.7,404670.42,2.78
2024-10-02,27.13,27.2,26.2,26.28,659937,0.85,-0.41,20.21,22.25,21.85,587364.49,419306.89,551242.72,1.87
2024-10-01,27.61,29.26,22.77,26.59,637717,0.94,2.66,20.74,23.83,22.32,410451.58,448378.77,491704.6,2.82
2024-09-30,25.61,26.33,21.88,25.13,619771,0.89,-0.48,24.93,20.7,21.93,483758.66,402480.81,457848.95,1.75
2024-09-29,27.71,27.96,24.64,27.48,538000,-0.05,0.83,24.83,22.76,21.59,452031.56,493753.59,580016.64,2.93
2024-09-28,24.94,25.98,23.53,23.72,526737,0.72,-0.61,20.02,20.8,20.13,546164.19,460253.05,423227.79,1.18
2024-09-27,25.23,26.77,25.84,24.65,511485,0.69,-1.35,24.76,22.14,22.91,596259.42,519671.5,591183.77,2.37
2024-09-26,24.28,24.71,20.78,23.12,538565,-0.36,2.9,23.2,20.39,22.4,451306.01,459447.56,462793.34,1.99
2024-09-25,20.25,21.5,29.74,19.94,656594,0.66,-0.54,24.34,21.8,20.88,530834.92,459983.82,577680.73,1.78
2024-09-24,21.08,21.25,29.86,20.12,619614,-0.93,2.36,22.27,23.02,22.94,439619.53,548638.64,520588.58,2.27
2024-09-23,20.31,20.41,26.98,19.24,565155,0.19,-1.62,22.58,21.39,21.81,513066.05,409628.57,565341.47,2.41
2024-09-22,26.36,27.42,25.36,26.26,686240,-0.54,-1.72,22.44,22.66,21.75,492786.5,580579.0,596802.63,1.01
2024-09-21,23.14,24.22,23.1,22.47,552487,-0.76,-2.81,23.33,23.18,22.24,594401.07,570452.77,457681.09,1.33
2024-09-20,25.09,26.36,28.14,24.82,629948,-0.85,0.91,20.7,23.71,22.44,521705.45,533560.94,592227.1,2.43
2024-09-19,29.08,30.53,26.85,28.95,512342,0.39,-0.79,20.15,20.94,21.97,469901.27,518644.31,477896.38,2.33
2024-09-18,22.49,24.44,21.63,20.51,540806,-0.32,2.19,21.54,21.6,20.38,422819.16,578460.5,477102.38,2.93
2024-09-17,24.1,25.13,29.11,23.46,548770,0.45,-0.16,23.52,20.61,21.01,430249.37,437066.04,468077.42,2.52
2024-09-16,27.56,28.21,28.23,25.94,578623,-0.87,2.81,21.01,23.97,22.78,445063.39,415793.83,508281.52,2.9
2024-09-15,22.29,23.88,29.5,21.78,603177,-0.37,-1.89,23.37,23.71,20.67,450193.33,447902.03,430829.01,2.41
2024-09-14,20.77,21.31,27.26,19.41,631026,0.08,2.21,24.85,22.16,21.12,570123.21,558915.66,510742.3,1.6
2024-09-13,22.9,23.78,26.13,21.38,575629,0.58,1.66,20.47,23.37,21.3,512244.56,406934.05,508340.96,1.21
2024-09-12,21.61,21.77,24.18,20.42,620993,-0.36,1.63,23.36,22.08,21.32,504678.18,516561.37,552380.36,2.56
2024-09-11,29.3,29.35,29.33,28.36,683675,0.25,2.07,22.22,22.49,21.84,422953.77,599087.5,566729.99,2.29
2024-09-10,28.08,30.01,28.66,27.26,626944,0.77,1.57,24.34,20.36,22.83,572027.94,571139.22,488088.27,1.1
2024-09-09,26.33,28.0,20.45,25.63,605947,0.23,0.76,20.89,23.02,20.72,544562.86,504289.14,460466.65,1.72
2024-09-08,28.71,30.1,20.26,26.85,526399,-0.53,-2.21,23.46,20.51,20.36,413533.67,412728.18,451866.98,2.91
2024-09-07,28.04,28.86,23.76,26.38,628177,-0.95,-2.8,24.19,23.3,20.59,541567.02,566274.7,438924.77,2.0
2024-09-06,21.87,22.22,28.11,19.94,609575,0.74,2.53,24.72,23.13,22.66,508707.64,519795.7,411529.52,1.87
2024-09-05,28.93,29.24,29.87,28.68,610904,-0.96,0.7,23.42,22.83,21.94,416345.07,422986.6,468489.6,1.92
2024-09-04,25.39,25.89,21.5,23.93,686178,0.75,1.78,22.49,20.14,20.86,491660.13,418771.46,454049.54,1.42
2024-09-03,28.07,29.17,25.94,26.19,530678,0.06,-0.11,23.09,21.21,22.45,496939.26,581925.36,593283.48,1.74
2024-09-02,28.96,30.39,23.81,28.6,576218,0.88,-2.3,24.34,21.05,22.58,433154.91,533840.05,511541.77,1.74
2024-09-01,23.18,24.5,29.7,23.05,563230,0.6,-2.25,22.85,21.44,22.54,589139.63,565857.36,469455.41,1.1
2024-08-31,21.1,21.66,28.42,19.62,574055,1.0,1.11,20.15,20.35,22.76,569995.07,575795.78,516093.52,2.54
2024-08-30,22.28,24.19,28.38,21.13,687445,-0.3,-0.42,24.65,23.75,20.76,533804.47,514354.47,427839.34,1.83
2024-08-29,24.27,25.75,24.69,22.59,662552,0.53,-1.8,23.45,22.22,22.27,492459.11,503489.27,488808.75,2.64
2024-08-28,28.18,29.29,24.15,27.9,699908,-0.2,-0.05,23.38,21.22,21.38,482353.11,486085.48,525246.86,2.7
2024-08-27,28.61,29.83,22.73,27.02,572258,-0.04,-2.61,21.08,21.59,22.53,530194.69,463389.32,497779.57,1.42
2024-08-26,20.07,20.91,20.56,19.67,539986,0.26,0.49,23.29,21.79,22.19,509086.37,486919.19,480355.76,2.31
2024-08-25,25.11,25.61,28.65,24.78,655232,0.75,-1.39,21.97,22.4,22.33,412454.62,554775.93,598769.68,1.94
2024-08-24,24.17,24.88,28.13,23.84,585595,0.97,1.79,23.26,22.06,21.97,502500.53,520384.69,576062.95,2.76
2024-08-23,22.22,23.74,30.0,20.59,601358,0.54,-1.14,20.53,23.68,20.53,561280.72,578504.66,524681.19,1.43
2024-08-22,21.2,21.23,29.97,19.87,564929,-0.16,-0.27,23.29,21.99,21.64,491847.98,488676.0,513875.47,2.36
2024-08-21,23.38,23.61,25.55,22.33,573506,-0.16,-2.93,25.0,23.97,22.95,410391.32,521417.92,524132.1,2.22
2024-08-20,29.43,29.52,27.69,28.71,534911,0.48,-2.57,20.24,23.41,22.81,557255.64,526261.51,440262.42,1.59
2024-08-19,23.23,23.31,29.45,21.48,587127,-0.52,-0.65,24.89,20.83,20.13,440272.76,518339.43,479027.55,1.27
2024-08-18,25.19,26.9,28.5,24.41,662893,-0.78,-0.12,22.03,23.72,20.49,451724.17,540526.75,407891.91,2.3
2024-08-17,27.03,28.44,22.47,25.4,691607,-0.29,0.6,24.35,20.47,20.4,432941.27,447486.69,495109.21,2.48
2024-08-16,23.64,24.59,24.51,22.76,613453,-0.43,-1.25,23.91,23.27,22.18,466043.01,502472.76,508604.92,1.63
2024-08-15,29.72,29.92,21.29,28.97,584458,-0.41,1.17,22.84,21.52,22.45,551350.3,420844.96,445549.95,2.29
2024-08-14,29.62,30.6,29.54,28.69,512175,-0.53,2.16,23.69,23.51,20.64,503877.17,476902.27,592805.77,1.79
2024-08-13,22.52,23.47,26.06,21.92,619235,-0.92,1.68,24.39,23.47,21.52,440976.25,497533.41,581890.92,2.43
2024-08-12,24.97,25.32,22.29,23.47,554771,-0.96,-2.76,22.02,23.22,22.52,575566.02,530444.85,544428.65,1.4
2024-08-11,23.01,23.88,26.72,22.0,627157,0.98,-0.12,21.64,23.16,22.2,575916.37,590106.21,506677.33,2.78
2024-08-10,22.85,23.65,26.18,22.39,621300,-0.14,-2.37,23.34,21.22,21.63,574115.69,520130.21,573993.83,1.57
2024-08-09,20.37,21.6,23.58,18.57,586925,-0.23,-1.55,24.04,20.32,21.77,447759.24,548718.78,426130.47,1.74
2024-08-08,26.1,27.37,21.14,25.33,566358,0.36,2.92,23.81,21.61,21.53,490247.87,501253.21,558101.96,1.12
2024-08-07,25.03,25.12,26.72,23.94,648399,-0.56,-2.15,23.99,20.69,20.89,596997.93,526820.81,424964.16,1.22
2024-08-06,20.51,21.26,25.2,18.7,547057,0.9,-0.01,22.18,22.78,21.7,554402.5,414186.44,558842.13,2.03
2024-08-05,22.79,24.04,27.72,21.54,506150,0.57,0.71,24.09,21.38,22.07,405433.48,450878.32,455153.51,1.54
2024-08-04,29.08,30.09,25.2,28.85,504425,-0.82,1.21,20.6,23.9,22.62,413040.92,472370.62,575418.12,2.67
2024-08-03,22.4,24.11,28.52,20.52,516032,-0.16,0.36,22.72,22.56,21.91,492786.28,494498.67,588808.42,1.03
2024-08-02,21.45,22.77,25.52,20.19,502198,0.76,-2.94,20.03,23.29,22.28,581844.04,409129.75,429759.19,1.76
2024-08-01,24.89,25.22,25.61,24.22,691572,0.89,-1.04,21.62,20.53,20.48,507740.36,428004.82,492535.12,1.67
2024-07-31,29.86,30.0,28.77,29.58,684466,-0.07,0.11,21.83,23.45,21.38,499562.5,455362.86,596197.48,1.04
2024-07-30,22.42,23.7,24.03,20.83,651151,0.23,-2.47,21.98,23.69,20.03,421094.74,594306.54,496681.49,1.25
2024-07-29,26.72,26.77,21.34,25.48,667292,-0.67,-0.9,23.48,21.95,20.74,531356.02,466269.4,572709.5,1.83
2024-07-28,27.62,28.79,20.29,26.55,672946,0.98,-2.8,21.94,22.43,22.18,564420.63,496408.21,517746.3,1.99
2024-07-27,22.38,24.26,27.55,20.59,644931,-0.54,-2.53,22.24,23.06,22.98,476084.0,439219.54,475065.98,1.81
2024-07-26,27.28,28.43,26.2,25.7,681532,0.89,-0.62,21.19,20.7,20.3,555122.37,522156.01,457156.71,2.06
2024-07-25,23.68,24.46,27.04,23.38,662491,0.3,-2.2,21.87,22.01,21.2,592895.33,456136.64,440644.62,2.19
2024-07-24,26.32,27.61,22.13,25.7,618865,0.22,0.41,21.14,21.59,22.4,440753.29,441398.52,552359.64,1.02
2024-07-23,26.34,27.26,21.36,25.84,639777,0.03,1.14,20.37,20.59,20.61,504665.93,503314.53,477308.1,1.93
2024-07-22,25.36,26.45,20.15,23.87,673952,-0.54,1.8,23.02,21.47,21.67,457427.59,401101.16,502255.09,2.93
2024-07-21,20.9,22.78,23.51,20.83,523236,-0.65,-1.8,23.34,20.27,22.2,558570.88,401532.81,498465.1,2.04
2024-07-20,28.35,29.12,25.9,27.21,587955,-0.56,-2.0,23.1,20.1,21.85,515518.67,443813.76,515455.81,2.36
2024-07-19,23.21,25.13,23.92,21.69,603145,-0.63,-2.37,22.32,20.54,20.56,526916.48,407344.27,573115.43,1.62
2024-07-18,21.87,23.68,24.37,20.12,646430,0.56,0.82,21.9,23.85,21.07,559582.83,421605.15,596147.87,2.55
2024-07-17,20.41,20.8,29.04,19.73,594914,-0.3,1.24,24.32,22.2,22.35,479194.09,467772.13,481516.84,2.55
2024-07-16,25.91,26.05,23.48,24.27,602870,-0.88,-2.81,22.6,23.86,21.66,583018.01,560517.14,565503.78,2.04
2024-07-15,26.78,26.98,25.14,26.56,616243,0.94,2.62,22.4,21.73,20.02,506605.77,514409.73,552905.56,2.95
2024-07-14,20.17,20.21,27.84,18.48,514596,0.77,-2.69,20.13,21.25,22.28,431590.96,502533.55,514705.79,1.25
2024-07-13,25.12,25.31,23.97,24.87,664644,0.86,0.25,21.71,22.02,20.11,539179.82,458697.76,591209.43,1.03
2024-07-12,22.26,23.63,26.22,21.47,632351,0.99,1.25,21.9,21.76,22.24,558652.27,586350.74,440094.9,2.54
2024-07-11,26.45,26.59,28.62,24.86,694269,-0.65,2.23,21.99,20.42,20.61,463352.34,479403.01,421852.84,2.61
2024-07-10,21.74,22.38,29.5,21.44,611496,-0.21,1.28,22.9,22.56,22.87,571435.85,417418.55,570792.39,1.24
2024-07-09,26.91,28.6,21.47,26.45,630273,0.52,1.81,22.67,20.86,21.1,581228.65,523413.3,487829.96,1.53
2024-07-08,23.87,23.92,29.27,22.43,693588,0.39,-0.96,23.04,22.48,20.98,455380.9,422767.68,569393.77,1.04
2024-07-07,29.37,31.0,24.92,27.93,638155,-0.69,1.89,23.82,22.6,20.45,596704.29,469044.63,578618.04,1.59
2024-07-06,21.38,21.94,22.58,20.1,620674,0.63,-2.52,24.06,20.61,20.92,428142.31,501482.39,412491.52,2.55
2024-07-05,23.41,23.65,24.59,22.02,620307,-0.55,2.37,23.59,20.25,22.63,440403.13,574844.5,576692.95,2.04
2024-07-04,21.13,22.52,29.8,20.04,648843,-0.55,0.29,24.78,23.12,22.99,436844.97,498709.32,489663.81,1.7
2024-07-03,29.25,30.51,24.93,28.75,661047,0.07,1.9,20.09,21.84,21.1,578797.94,540451.75,502086.5,1.74
2024-07-02,28.77,30.52,23.29,28.08,676720,0.19,-0.29,20.98,20.23,21.35,530858.51,598563.37,525318.5,1.0
2024-07-01,22.58,24.05,26.33,22.22,679357,0.16,0.86,20.04,23.98,22.17,430420.86,426297.82,585276.52,1.6
2024-06-30,26.6,28.21,22.4,24.78,519063,-0.82,0.16,23.24,20.23,22.66,488064.68,454946.31,403823.22,2.29
2024-06-29,28.17,28.73,20.76,27.0,567642,0.75,1.39,24.49,22.78,21.78,523059.61,478915.22,495368.69,2.95
2024-06-28,25.55,25.9,21.29,24.75,590093,-0.47,-2.51,21.22,23.93,21.17,416692.82,484365.64,537544.41,2.69
2024-06-27,25.3,26.8,21.28,24.38,668671,-0.74,-2.64,24.64,20.96,21.24,576483.27,482204.22,544541.39,1.05
2024-06-26,22.42,24.03,21.52,20.53,682992,0.78,-1.52,20.3,20.57,22.09,560720.71,581522.2,538506.49,2.8
2024-06-25,20.93,22.91,21.39,20.62,659601,0.91,-2.04,24.67,20.49,20.01,501041.35,542806.53,426887.03,2.57
2024-06-24,28.97,29.8,26.41,27.8,535954,0.72,2.23,21.76,21.21,21.86,593425.32,521581.04,459879.12,2.56
2024-06-23,29.0,29.74,21.82,27.99,527856,0.62,-1.68,20.51,20.4,21.07,483552.2,461874.54,471743.11,1.92
2024-06-22,26.33,27.88,23.46,25.11,502573,0.31,2.86,22.43,22.77,22.38,596822.06,564758.08,560887.44,1.8
2024-06-21,23.39,24.07,28.97,23.35,535367,0.1,-0.98,21.28,20.25,20.28,533584.0,591012.1,455751.97,1.61
2024-06-20,23.49,25.35,24.74,21.75,599608,-0.83,-1.91,21.42,22.04,21.76,526934.25,564239.66,442140.99,1.13
2024-06-19,27.26,28.98,26.68,25.4,560774,-0.18,1.74,21.54,23.99,21.44,433190.98,400313.02,591489.6,1.46
2024-06-18,28.97,29.83,21.72,27.84,523752,-0.25,0.95,24.02,23.26,21.93,576385.55,527280.27,401772.66,1.49
2024-06-17,28.87,30.37,21.92,27.48,555029,-0.48,-0.01,22.7,22.46,20.19,485497.94,410227.08,599564.17,1.97
2024-06-16,27.8,29.31,20.41,25.96,648757,0.45,0.33,21.56,21.23,21.74,432446.68,451521.44,535364.26,2.49
