col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
476,996,792,751,779,?,?,555,860,10,2,386
745,211,244,?,146,?,238,533,918,998,?,137
404,?,679,243,872,821,852,326,?,?,789,?
461,417,367,213,475,?,827,847,?,856,?,255
406,694,840,32,876,767,97,824,?,851,?,844
703,661,601,?,67,662,?,868,?,965,173,444
405,392,177,931,287,?,635,663,422,?,287,430
906,256,822,20,801,492,497,580,398,27,?,831
60,484,786,239,103,247,836,?,971,867,398,860
178,607,756,936,721,971,146,193,830,505,180,?
617,540,340,207,349,941,890,23,722,?,539,?
722,406,345,140,750,811,499,179,576,952,366,604
388,706,182,972,587,790,34,326,991,655,960,340
244,328,907,842,655,344,272,?,263,?,396,430
906,903,560,849,885,777,167,819,?,268,76,910
750,965,96,629,?,966,622,?,340,195,568,748
677,244,403,861,56,?,844,615,?,175,84,119
408,917,94,397,907,192,270,270,276,155,?,685
555,775,?,397,429,704,487,242,81,875,515,530
694,151,776,972,996,198,?,700,843,855,328,937
90,407,878,470,13,639,801,425,581,777,103,577
805,549,899,393,586,39,413,624,?,911,708,764
276,21,813,288,879,101,234,998,793,276,620,193
936,759,529,?,811,319,414,872,?,198,206,?
52,722,378,518,946,32,501,182,486,359,858,767
93,?,875,989,227,694,668,21,991,10,136,616
230,825,730,659,917,358,224,694,639,?,679,860
663,290,111,345,656,284,729,668,154,247,825,830
677,144,672,303,429,?,726,836,744,703,804,964
520,175,898,301,132,743,782,970,344,228,763,431
340,600,872,55,598,?,911,123,391,?,?,206
584,469,884,?,341,182,?,281,793,?,805,?
445,414,489,39,749,15,776,?,5,255,899,?
516,172,47,298,533,346,704,351,502,193,929,?
230,135,23,174,729,39,656,548,609,?,?,?
455,561,719,712,10,?,533,621,429,108,?,117
510,205,852,207,420,41,933,956,?,?,114,686
973,524,741,263,468,304,?,179,873,821,437,98
?,873,663,367,979,900,382,?,410,279,707,820
908,116,?,966,107,605,583,186,798,30,902,997
495,116,?,268,13,695,762,579,979,347,705,98
745,355,657,860,914,?,957,870,508,77,329,994
520,659,837,471,587,878,?,510,?,?,?,94
987,312,576,688,350,56,865,574,615,673,?,778
3,850,820,535,?,169,842,739,261,?,873,469
196,111,48,858,127,462,604,138,5,50,444,495
800,182,178,132,674,904,903,624,781,408,994,?
423,908,307,561,729,567,206,732,354,136,666,183
711,728,361,597,684,691,862,899,?,?,?,58
769,294,150,708,209,34,?,889,576,761,399,804
713,?,391,980,702,?,762,636,882,850,649,664
603,618,743,302,?,986,?,42,570,165,?,478
?,951,53,641,678,809,?,725,226,?,?,557
95,905,340,301,771,487,844,?,685,247,629,250
699,391,968,263,?,530,384,521,45,668,?,?
980,?,68,645,886,?,551,900,794,837,765,25
?,?,814,73,234,418,646,?,?,7,?,764
718,367,109,703,89,949,405,32,547,765,817,303
148,909,815,664,?,896,?,587,551,88,767,744
423,872,165,632,199,688,?,770,563,?,?,101
595,339,688,103,72,326,337,314,157,374,982,5
805,758,284,138,340,474,794,?,662,862,?,552
752,79,?,520,833,415,218,565,916,484,153,229
604,298,514,407,11,869,629,776,457,580,676,150
496,42,500,271,44,531,370,940,?,665,721,649
855,593,179,388,670,80,386,229,362,354,494,7
143,236,659,154,371,837,236,339,494,491,166,?
45,607,645,913,58,945,982,993,20,746,291,222
483,175,421,814,786,676,172,351,611,236,?,208
932,430,621,488,?,803,?,494,924,?,961,665
431,45,440,822,788,604,930,714,?,489,932,291
557,?,762,592,?,671,824,?,437,260,549,375
697,209,803,184,569,315,793,754,885,766,802,?
521,347,629,?,399,6,844,949,?,228,?,394
411,534,987,969,180,?,871,824,?,614,716,174
369,1,89,799,686,601,16,71,563,850,597,987
232,200,414,268,519,75,349,823,264,833,257,990
496,776,795,472,?,120,392,226,236,423,529,718
255,409,841,568,488,224,276,765,932,755,754,272
208,857,160,123,693,505,783,?,494,323,903,890
188,938,408,591,539,490,34,404,795,?,531,?
691,595,371,266,270,483,352,511,430,382,411,185
590,834,277,569,391,820,154,10,?,915,530,324
308,880,408,?,834,860,461,267,574,830,21,360
987,591,665,800,333,500,458,391,475,149,656,346
628,870,82,234,669,274,405,456,962,602,462,189
129,678,762,82,407,66,485,27,537,?,?,671
400,254,454,135,?,680,938,488,892,279,139,715
606,647,899,537,547,356,233,453,423,?,536,?
294,9,504,489,785,300,?,383,904,405,733,400
226,433,530,932,711,292,545,423,71,?,467,279
504,20,993,191,289,733,9,?,223,320,511,475
33,864,?,795,557,197,257,?,998,255,999,756
204,790,682,485,985,331,?,960,126,654,370,885
997,649,16,283,406,10,596,487,159,92,?,634
993,?,365,719,110,239,572,775,914,?,387,138
41,449,556,195,557,750,889,937,?,159,840,376
795,389,?,878,636,?,991,397,700,?,290,657
99,?,961,?,110,?,658,674,639,?,227,?
944,504,853,821,370,961,842,?,632,42,855,968
532,743,395,539,584,184,572,109,591,470,438,171
564,346,547,454,925,333,423,441,332,577,385,949
369,459,1,292,531,912,308,220,23,966,283,524
949,?,365,272,597,263,95,583,?,333,178,921
591,98,?,828,81,944,357,445,?,789,669,?
797,56,43,579,515,?,750,995,610,93,297,?
85,?,409,409,793,781,573,405,201,754,?,796
702,92,424,357,353,25,174,632,823,150,947,205
160,874,?,972,152,840,352,114,?,215,217,536
562,748,712,19,928,45,62,809,?,671,69,278
935,886,300,665,390,?,324,612,191,990,949,41
543,502,?,701,641,514,64,900,835,967,287,350
673,748,984,894,233,587,994,620,?,?,555,208
317,921,139,931,149,579,?,546,122,860,?,327
424,311,957,653,281,?,?,627,621,237,237,?
799,515,481,383,397,141,?,783,948,423,688,776
182,450,502,888,253,?,753,738,627,586,538,722
534,468,44,252,406,41,529,?,299,906,848,171
628,707,146,662,740,185,961,?,424,26,605,918
466,332,929,168,?,724,?,725,811,627,388,45
935,893,154,149,?,316,788,296,121,984,638,13
876,?,904,223,488,?,?,904,635,840,51,57
38,34,859,340,51,183,292,709,587,182,768,?
787,378,?,438,67,138,881,540,215,?,586,645
90,706,808,295,869,539,639,133,509,648,828,625
298,2,477,121,213,425,342,826,12,707,?,308
332,117,350,583,30,199,347,491,?,140,643,886
344,834,?,534,743,569,214,340,910,68,288,348
642,170,399,120,770,879,33,89,244,850,222,?
?,207,455,819,513,349,751,318,147,101,961,136
38,731,?,?,869,90,?,534,764,592,655,329
294,327,688,153,?,638,105,359,?,722,588,73
914,?,30,?,?,437,722,607,707,632,341,731
829,998,783,135,822,?,318,728,482,?,918,935
188,682,882,465,67,360,867,787,?,106,732,334
73,546,605,636,163,?,214,606,446,351,?,?
954,857,607,334,842,316,72,702,790,336,?,223
909,774,1,677,545,631,201,899,584,696,966,736
353,?,523,131,64,563,1,841,113,?,443,404
729,391,217,487,569,947,428,894,?,?,739,674
140,658,881,808,953,185,435,461,232,?,511,243
276,560,35,582,378,494,82,749,880,798,?,912
252,760,685,649,594,55,548,481,928,752,362,818
?,946,312,578,645,174,673,829,28,?,79,285
631,879,760,179,757,458,180,718,186,?,87,610
158,771,789,677,653,592,?,271,?,476,309,972
546,700,486,544,13,817,695,543,?,545,980,626
879,277,101,599,792,248,603,533,707,321,?,?
101,702,225,258,25,59,673,223,?,?,877,385
922,823,918,189,479,78,945,788,926,789,166,284
392,62,833,?,951,403,?,554,224,109,733,?
586,796,919,669,?,400,717,401,528,790,447,746
805,?,978,799,581,368,311,648,?,548,?,471
297,181,991,196,400,646,?,648,?,?,608,?
554,512,855,990,38,346,44,217,684,963,896,759
948,754,?,929,47,665,177,927,?,626,?,?
510,631,824,346,756,333,701,141,988,?,178,124
776,714,169,948,?,868,386,17,?,184,724,909
711,792,130,656,462,961,?,185,627,643,309,5
197,543,634,780,520,789,214,?,153,992,510,687
56,292,258,825,?,?,551,?,?,917,456,334
766,334,113,101,423,385,76,?,?,951,183,140
199,999,344,709,288,873,429,352,303,809,976,175
567,89,535,222,858,15,754,254,594,950,153,?
?,482,?,544,830,?,508,572,710,973,368,664
17,313,471,766,1000,791,721,809,642,?,?,915
?,437,715,556,213,83,344,57,932,?,393,?
376,573,575,210,343,117,756,595,720,763,329,274
434,65,464,540,482,695,922,636,690,829,?,914
90,920,982,112,115,509,210,?,427,555,486,455
22,?,822,971,344,352,806,608,543,456,?,809
809,496,296,49,292,171,165,293,180,710,?,?
325,452,189,?,325,152,553,547,?,954,149,951
5,560,340,303,297,773,588,819,929,347,750,?
565,26,862,366,57,200,228,786,?,870,688,1000
200,618,?,683,152,438,?,354,457,90,910,426
296,746,435,425,602,148,487,538,68,605,?,655
425,474,774,205,391,?,847,600,573,?,?,308
855,128,915,184,705,30,284,?,764,493,890,703
711,383,?,266,60,473,139,55,430,979,297,655
527,644,97,172,894,866,309,715,99,361,?,289
497,944,105,516,193,573,852,867,565,?,472,120
?,357,372,453,612,994,727,763,?,?,233,?
81,782,?,496,44,34,526,?,?,309,?,127
211,205,?,150,965,594,165,800,248,?,593,542
197,176,?,743,220,872,376,190,?,855,389,527
116,322,113,508,722,?,336,395,615,704,455,418
876,878,862,962,?,691,108,536,?,405,605,760
173,999,206,414,859,512,731,608,809,966,488,973
497,151,111,502,644,?,55,511,996,620,157,?
79,533,812,301,503,556,881,19,33,902,393,874
?,182,882,906,504,320,500,583,676,553,488,161
401,606,632,785,?,?,858,829,28,641,100,366
58,254,320,933,890,346,552,472,433,924,21,?
325,400,101,103,211,515,684,630,993,509,998,861
220,49,588,232,?,865,607,69,544,215,79,310
308,553,425,640,688,185,643,884,512,986,961,960
829,788,958,?,206,152,765,308,421,851,650,423
294,263,242,117,29,848,498,447,?,164,30,823
564,?,740,?,?,617,66,417,688,93,860,144
585,956,681,973,538,?,?,827,853,400,762,434
110,994,419,?,547,972,559,700,285,?,487,842
661,?,758,?,940,246,394,982,925,125,243,?
984,940,93,775,216,165,647,832,417,281,843,504
423,341,898,103,716,68,617,561,465,?,657,455
?,205,322,114,529,787,782,609,812,463,?,178
847,289,425,403,968,585,?,572,642,92,204,?
411,615,92,175,?,539,943,848,122,209,883,273
507,442,615,844,694,185,?,1000,633,255,701,?
137,998,704,393,754,?,?,954,931,621,991,727
?,517,310,688,992,43,267,505,899,92,544,?
46,512,855,370,290,270,780,530,915,755,783,570
674,?,?,?,267,479,917,42,727,469,867,?
96,291,173,843,913,218,?,786,427,253,?,?
698,125,605,109,?,472,676,644,609,338,672,464
750,929,583,?,660,?,73,617,409,246,887,22
167,413,771,158,503,754,318,?,?,377,502,398
577,93,831,191,?,526,475,664,159,540,?,480
929,308,131,308,536,?,79,?,436,476,583,364
84,17,678,806,?,427,305,742,687,828,990,?
190,619,690,?,405,176,472,890,763,499,833,370
987,405,90,15,?,994,28,665,248,642,552,309
152,23,925,720,497,881,249,584,?,?,868,426
755,749,?,410,606,958,837,238,?,591,66,664
485,638,356,?,295,481,238,602,348,874,673,905
729,427,690,369,819,166,290,89,133,161,104,966
311,?,19,268,163,881,33,346,633,576,265,804
48,571,155,895,686,52,449,986,114,801,801,105
43,172,892,371,300,781,751,158,343,126,450,788
252,486,518,273,773,645,156,543,?,440,420,975
814,?,150,735,?,347,791,63,38,?,?,647
819,533,430,698,895,761,?,287,626,718,660,558
634,715,832,415,903,38,400,758,533,291,524,534
651,29,553,248,312,?,62,266,?,775,128,587
465,242,596,916,682,610,307,804,587,732,756,336
198,370,151,849,?,910,220,379,413,532,893,511
451,971,997,167,131,469,722,?,218,34,967,944
617,113,586,536,381,384,?,147,604,960,911,188
?,561,?,493,580,346,487,854,?,652,461,153
334,640,420,922,?,687,754,91,?,646,725,?
573,979,591,981,194,515,124,545,20,211,723,594
827,329,47,?,448,25,325,?,102,?,262,158
418,61,334,?,?,146,332,965,?,246,601,521
395,?,476,68,418,936,276,601,253,668,312,?
652,802,383,173,551,985,?,833,850,669,?,944
613,697,360,218,523,166,?,92,126,743,287,216
981,906,351,771,280,330,471,?,?,?,?,10
424,714,781,84,665,?,853,456,362,386,367,860
714,128,959,10,21,697,367,836,311,227,506,38
927,621,201,654,891,513,566,757,699,?,132,131
584,903,802,869,994,546,698,?,438,966,875,443
417,697,508,?,739,285,546,6,?,586,756,707
77,202,?,641,492,25,642,861,111,982,56,533
967,615,783,458,88,?,321,?,?,822,309,?
694,54,391,633,239,807,11,476,902,104,961,27
337,111,610,608,199,130,263,493,456,141,?,599
983,367,907,150,317,299,9,674,59,839,?,353
206,207,350,488,479,340,580,631,337,466,?,225
655,236,219,753,835,758,410,7,76,?,298,647
784,?,203,225,737,868,183,181,?,852,389,?
959,468,829,176,819,903,?,148,134,197,712,614
652,48,602,549,153,55,287,872,599,215,804,680
172,770,770,511,184,383,495,507,596,944,?,225
463,406,436,586,863,?,?,456,236,477,345,479
377,325,26,240,78,85,514,?,284,?,?,206
692,310,787,282,619,876,758,?,307,355,414,842
?,670,780,887,233,215,529,566,740,349,321,440
715,450,?,143,132,?,830,364,430,771,798,307
24,33,158,339,819,623,401,210,66,193,337,463
312,107,?,706,28,72,396,239,?,59,?,881
401,114,429,71,926,134,318,727,163,962,208,702
?,147,845,827,337,901,474,?,662,468,863,305
844,180,184,751,394,188,98,?,907,281,551,?
744,223,422,567,?,108,799,462,213,?,655,768
352,877,?,118,140,767,?,562,731,144,286,175
622,302,760,80,12,158,183,36,546,?,651,657
676,400,?,?,387,952,931,?,29,346,697,226
99,851,742,426,836,576,640,555,?,?,?,412
13,470,674,666,?,224,786,105,811,871,258,615
647,695,790,341,780,326,683,?,934,392,760,602
14,632,128,756,250,62,511,156,?,946,969,899
285,806,534,425,296,235,340,211,929,255,713,623
534,453,67,72,54,145,?,607,815,242,437,?
203,181,311,460,207,801,974,408,483,518,444,840
?,391,86,944,551,745,390,465,576,74,733,159
?,513,384,948,405,383,316,?,?,?,955,199
981,936,357,501,378,667,435,249,944,647,29,?
620,698,254,975,?,?,729,408,998,531,898,850
709,991,908,316,771,746,112,796,?,767,767,?
173,2,793,538,296,175,191,203,515,462,218,61
829,266,893,642,112,?,88,?,31,490,?,63
?,597,43,535,385,986,955,776,440,699,323,964
409,59,895,?,892,743,948,?,544,717,255,634
891,424,4,981,?,369,993,334,240,410,?,439
965,675,927,395,200,891,586,734,131,90,690,896
918,119,554,217,967,?,?,952,925,288,264,975
127,945,743,815,893,590,?,352,735,743,658,990
828,266,90,349,960,965,377,321,591,?,549,398
328,817,816,680,228,10,472,836,858,697,616,765
821,36,317,706,869,490,221,722,61,?,734,751
231,54,795,500,307,676,164,562,433,357,?,745
714,718,404,332,595,56,727,671,141,495,149,824
753,371,590,805,152,438,173,99,486,?,528,608
153,414,122,501,611,669,795,815,92,886,392,669
12,85,657,522,601,587,711,814,394,661,306,102
731,815,416,21,838,832,66,599,839,128,213,?
883,?,458,?,589,?,263,?,128,373,176,968
255,969,927,675,144,712,933,361,523,102,46,?
877,981,566,368,747,77,267,926,?,261,963,549
645,649,198,578,841,168,158,807,27,?,128,701
68,92,342,150,232,101,993,?,?,540,314,827
542,586,565,102,175,770,354,695,545,904,489,?
526,674,388,?,743,380,256,429,188,363,515,976
965,946,313,90,417,?,?,246,170,87,568,828
986,694,749,510,694,715,15,933,8,720,354,757
943,902,701,622,173,904,926,77,137,?,508,383
347,256,872,121,495,?,647,223,952,659,?,475
869,?,472,363,359,191,?,504,542,158,936,160
257,405,374,187,276,450,450,363,6,892,114,?
432,?,683,491,273,501,820,131,783,410,946,846
113,?,160,14,?,850,1000,9,297,85,254,747
256,118,718,841,486,?,748,186,876,?,?,40
197,?,205,53,538,649,228,?,438,?,373,360
253,49,?,763,293,931,442,972,343,100,700,?
370,371,604,381,283,?,109,761,43,935,838,722
102,560,309,780,739,131,564,913,874,574,917,645
933,495,954,?,614,991,47,63,711,835,702,526
170,522,799,622,?,586,?,951,467,738,311,304
566,?,244,655,905,137,?,255,216,2,648,378
970,563,137,627,59,11,225,287,?,674,797,?
764,969,891,619,837,333,596,879,160,748,?,?
186,836,194,966,664,318,182,704,?,437,931,?
540,769,618,?,?,851,45,?,147,?,?,?
754,874,208,778,455,315,159,557,643,22,106,106
857,2,25,395,672,944,394,733,116,113,980,?
342,946,87,620,439,615,436,684,640,357,278,678
272,729,?,956,797,328,458,805,?,592,745,93
131,395,507,711,617,342,967,252,563,547,550,?
733,592,831,?,?,?,572,137,62,370,888,143
148,565,935,216,58,121,721,?,989,56,679,489
892,151,81,13,834,784,762,541,307,740,801,14
160,?,770,?,853,971,568,265,514,233,161,95
974,217,58,189,1000,?,710,321,415,?,381,200
107,618,?,289,?,?,932,565,?,?,584,578
?,323,?,366,982,200,401,?,?,418,?,827
25,392,890,298,699,907,976,906,698,788,987,747
536,350,135,369,963,913,700,214,?,157,?,?
892,889,801,511,322,303,287,?,184,472,485,782
666,963,583,373,411,635,133,525,975,86,519,899
?,?,810,841,159,298,584,75,896,96,480,922
112,750,983,787,412,325,619,720,118,40,972,656
?,616,64,371,485,217,976,434,651,?,?,895
893,220,266,56,924,987,169,965,487,?,714,935
399,575,612,741,632,681,962,846,?,919,152,?
994,270,4,966,129,655,?,764,431,793,387,215
996,?,834,310,515,128,665,424,361,437,784,?
439,567,556,292,706,650,636,928,90,?,17,?
768,950,649,596,684,431,796,?,877,128,813,423
661,759,963,230,275,271,925,425,5,?,?,384
532,615,175,441,997,632,?,955,132,400,178,326
448,728,517,591,864,939,567,331,?,12,?,633
943,586,761,465,797,246,228,549,744,805,267,?
148,654,888,471,126,290,?,507,935,?,?,76
641,704,912,931,165,11,676,622,121,356,629,?
760,125,31,531,157,374,?,142,746,130,494,95
565,479,508,970,198,203,909,985,598,602,814,740
905,611,836,111,440,362,648,461,35,260,301,899
989,?,185,440,367,221,381,?,327,735,477,330
576,291,540,575,623,827,77,662,775,833,?,506
282,128,616,393,22,660,590,934,135,?,547,41
17,98,426,282,355,570,506,403,466,657,125,961
30,?,108,883,447,91,924,836,6,?,905,?
312,338,811,277,948,472,327,772,871,424,?,541
490,1000,792,232,785,85,856,676,877,?,?,14
480,193,349,605,527,779,726,158,109,225,395,889
208,193,434,315,592,151,110,?,472,30,544,?
564,442,407,521,452,?,392,433,194,609,623,?
52,982,?,37,?,104,904,734,?,752,709,?
209,295,295,97,930,489,874,245,?,192,?,14
439,182,903,696,10,993,2,254,47,581,298,538
774,97,824,464,360,264,260,14,309,913,680,924
496,703,?,421,676,366,251,713,369,92,978,111
899,558,461,898,272,358,401,968,317,594,352,126
466,812,296,9,702,698,990,572,311,67,16,223
608,501,441,?,258,900,880,982,159,731,751,600
298,485,255,653,409,101,943,319,447,331,143,205
427,309,305,644,188,897,99,453,516,730,363,431
?,?,786,774,929,249,383,557,899,774,129,7
782,472,?,850,110,100,580,340,125,691,?,210
576,508,917,873,644,?,497,?,1,?,100,107
853,?,125,496,840,869,842,450,?,150,?,763
175,717,488,297,983,377,401,?,427,?,?,?
?,667,635,930,986,904,?,163,877,216,724,?
672,672,348,880,286,675,?,860,386,621,590,520
539,715,979,599,?,31,163,?,957,332,791,751
108,179,394,431,64,?,?,782,647,946,111,?
653,205,503,293,760,834,809,?,983,?,144,369
582,74,699,933,541,853,848,361,922,142,450,386
583,802,104,?,554,230,297,258,?,?,?,590
531,513,?,715,597,940,?,347,206,?,210,752
776,?,?,971,625,784,355,973,758,83,491,278
?,520,359,311,898,22,27,831,623,699,19,54
387,441,563,449,631,377,352,60,95,233,771,813
47,16,256,?,450,45,617,251,133,491,?,257
211,753,920,226,310,799,890,540,327,?,355,723
498,209,862,237,567,382,807,241,666,?,511,277
394,989,286,394,884,?,211,676,54,33,357,932
915,849,830,222,350,637,438,951,59,567,739,295
961,435,582,267,391,947,?,819,?,256,303,?
281,676,669,?,315,329,868,?,10,990,654,224
594,284,565,66,265,283,507,646,893,51,?,701
451,43,?,732,999,695,870,?,241,80,116,243
585,843,74,897,26,808,999,668,966,?,?,?
?,624,321,800,803,353,388,34,154,?,80,230
589,752,751,900,53,676,452,200,301,337,787,237
767,710,751,420,361,79,670,236,429,848,129,251
418,682,267,350,84,518,590,903,922,?,124,784
953,104,35,25,75,888,398,?,714,730,345,920
624,?,757,973,419,759,297,?,188,604,960,156
608,691,389,181,603,?,305,50,919,521,437,394
183,43,753,749,532,901,102,?,281,230,296,266
772,238,145,566,773,613,983,551,7,?,209,971
750,130,303,734,866,911,?,141,750,992,81,228
335,344,646,689,724,914,?,723,326,572,899,972
9,601,966,201,156,192,290,651,974,741,4,503
214,40,270,647,654,544,185,861,300,502,402,557
99,987,774,430,334,436,476,?,714,132,496,885
422,30,520,872,63,331,326,829,409,56,746,652
